START graph_PROTEINS_structmae: Sun 21 Jun 2026 02:35:10 AM CST
COMMAND: /root/miniconda3/envs/graphmae/bin/python main_graph.py --dataset PROTEINS --device 0 --use_cfg --mask_strategy structmae --structmae_beta 0.25 --structmae_score pagerank --structmae_iters 20 --structmae_damping 0.85 --seeds 0 1 2 3 4 5
2026-06-21 02:35:14,610 - INFO - Using best configs
------ Use best configs ------
Namespace(activation='prelu', alpha_l=1, attn_drop=0.1, batch_size=32, concat_hidden=False, dataset='PROTEINS', decoder='gin', deg4feat=False, degree_mask_power=1.0, degree_mask_ratio=0.3, device=0, drop_edge_rate=0.0, encoder='gin', in_drop=0.2, linear_prob=True, load_model=False, logging=False, loss_fn='sce', lr=0.00015, lr_f=0.001, mask_rate=0.5, mask_strategy='structmae', max_epoch=100, max_epoch_f=30, negative_slope=0.2, norm='batchnorm', num_heads=4, num_hidden=512, num_layers=3, num_out_heads=1, optimizer='adam', pagerank_damping=0.85, pagerank_iters=20, pagerank_mask_ratio=0.25, pagerank_mask_steps=5, pooling='max', replace_rate=0.0, residual=False, save_model=False, scheduler=False, seeds=[0, 1, 2, 3, 4, 5], structmae_beta=0.25, structmae_damping=0.85, structmae_iters=20, structmae_score='pagerank', use_cfg=True, warmup_steps=-1, weight_decay=0.0, weight_decay_f=0.0)
Use node label as node features
******** # Num Graphs: 1113, # Num Feat: 3, # Num Classes: 2 ********
####### Run 0 for seed 0

  0%|          | 0/100 [00:00<?, ?it/s]/root/miniconda3/envs/graphmae/lib/python3.8/site-packages/dgl/backend/pytorch/tensor.py:352: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  assert input.numel() == input.storage().size(), "Cannot convert view " \

Epoch 0 | train_loss: 0.3846:   0%|          | 0/100 [00:02<?, ?it/s]
Epoch 0 | train_loss: 0.3846:   1%|          | 1/100 [00:02<03:29,  2.11s/it]
Epoch 1 | train_loss: 0.2909:   1%|          | 1/100 [00:03<03:29,  2.11s/it]
Epoch 1 | train_loss: 0.2909:   2%|▏         | 2/100 [00:03<02:57,  1.82s/it]
Epoch 2 | train_loss: 0.2734:   2%|▏         | 2/100 [00:05<02:57,  1.82s/it]
Epoch 2 | train_loss: 0.2734:   3%|▎         | 3/100 [00:05<02:50,  1.76s/it]
Epoch 3 | train_loss: 0.2720:   3%|▎         | 3/100 [00:06<02:50,  1.76s/it]
Epoch 3 | train_loss: 0.2720:   4%|▍         | 4/100 [00:06<02:39,  1.66s/it]
Epoch 4 | train_loss: 0.2697:   4%|▍         | 4/100 [00:08<02:39,  1.66s/it]
Epoch 4 | train_loss: 0.2697:   5%|▌         | 5/100 [00:08<02:34,  1.63s/it]
Epoch 5 | train_loss: 0.2657:   5%|▌         | 5/100 [00:10<02:34,  1.63s/it]
Epoch 5 | train_loss: 0.2657:   6%|▌         | 6/100 [00:10<02:32,  1.62s/it]
Epoch 6 | train_loss: 0.2654:   6%|▌         | 6/100 [00:11<02:32,  1.62s/it]
Epoch 6 | train_loss: 0.2654:   7%|▋         | 7/100 [00:11<02:33,  1.65s/it]
Epoch 7 | train_loss: 0.2664:   7%|▋         | 7/100 [00:13<02:33,  1.65s/it]
Epoch 7 | train_loss: 0.2664:   8%|▊         | 8/100 [00:13<02:30,  1.64s/it]
Epoch 8 | train_loss: 0.2602:   8%|▊         | 8/100 [00:15<02:30,  1.64s/it]
Epoch 8 | train_loss: 0.2602:   9%|▉         | 9/100 [00:15<02:32,  1.68s/it]
Epoch 9 | train_loss: 0.2617:   9%|▉         | 9/100 [00:16<02:32,  1.68s/it]
Epoch 9 | train_loss: 0.2617:  10%|█         | 10/100 [00:16<02:32,  1.69s/it]
Epoch 10 | train_loss: 0.2616:  10%|█         | 10/100 [00:18<02:32,  1.69s/it]
Epoch 10 | train_loss: 0.2616:  11%|█         | 11/100 [00:18<02:30,  1.69s/it]
Epoch 11 | train_loss: 0.2599:  11%|█         | 11/100 [00:20<02:30,  1.69s/it]
Epoch 11 | train_loss: 0.2599:  12%|█▏        | 12/100 [00:20<02:26,  1.66s/it]
Epoch 12 | train_loss: 0.2624:  12%|█▏        | 12/100 [00:21<02:26,  1.66s/it]
Epoch 12 | train_loss: 0.2624:  13%|█▎        | 13/100 [00:21<02:20,  1.62s/it]
Epoch 13 | train_loss: 0.2599:  13%|█▎        | 13/100 [00:23<02:20,  1.62s/it]
Epoch 13 | train_loss: 0.2599:  14%|█▍        | 14/100 [00:23<02:19,  1.62s/it]
Epoch 14 | train_loss: 0.2616:  14%|█▍        | 14/100 [00:25<02:19,  1.62s/it]
Epoch 14 | train_loss: 0.2616:  15%|█▌        | 15/100 [00:25<02:21,  1.66s/it]
Epoch 15 | train_loss: 0.2601:  15%|█▌        | 15/100 [00:26<02:21,  1.66s/it]
Epoch 15 | train_loss: 0.2601:  16%|█▌        | 16/100 [00:26<02:20,  1.68s/it]
Epoch 16 | train_loss: 0.2622:  16%|█▌        | 16/100 [00:28<02:20,  1.68s/it]
Epoch 16 | train_loss: 0.2622:  17%|█▋        | 17/100 [00:28<02:17,  1.65s/it]
Epoch 17 | train_loss: 0.2599:  17%|█▋        | 17/100 [00:30<02:17,  1.65s/it]
Epoch 17 | train_loss: 0.2599:  18%|█▊        | 18/100 [00:30<02:16,  1.66s/it]
Epoch 18 | train_loss: 0.2606:  18%|█▊        | 18/100 [00:31<02:16,  1.66s/it]
Epoch 18 | train_loss: 0.2606:  19%|█▉        | 19/100 [00:31<02:15,  1.68s/it]
Epoch 19 | train_loss: 0.2571:  19%|█▉        | 19/100 [00:33<02:15,  1.68s/it]
Epoch 19 | train_loss: 0.2571:  20%|██        | 20/100 [00:33<02:14,  1.69s/it]
Epoch 20 | train_loss: 0.2565:  20%|██        | 20/100 [00:35<02:14,  1.69s/it]
Epoch 20 | train_loss: 0.2565:  21%|██        | 21/100 [00:35<02:09,  1.63s/it]
Epoch 21 | train_loss: 0.2558:  21%|██        | 21/100 [00:36<02:09,  1.63s/it]
Epoch 21 | train_loss: 0.2558:  22%|██▏       | 22/100 [00:36<02:09,  1.65s/it]
Epoch 22 | train_loss: 0.2562:  22%|██▏       | 22/100 [00:38<02:09,  1.65s/it]
Epoch 22 | train_loss: 0.2562:  23%|██▎       | 23/100 [00:38<02:05,  1.63s/it]
Epoch 23 | train_loss: 0.2601:  23%|██▎       | 23/100 [00:40<02:05,  1.63s/it]
Epoch 23 | train_loss: 0.2601:  24%|██▍       | 24/100 [00:40<02:05,  1.66s/it]
Epoch 24 | train_loss: 0.2576:  24%|██▍       | 24/100 [00:41<02:05,  1.66s/it]
Epoch 24 | train_loss: 0.2576:  25%|██▌       | 25/100 [00:41<02:03,  1.65s/it]
Epoch 25 | train_loss: 0.2566:  25%|██▌       | 25/100 [00:43<02:03,  1.65s/it]
Epoch 25 | train_loss: 0.2566:  26%|██▌       | 26/100 [00:43<02:02,  1.65s/it]
Epoch 26 | train_loss: 0.2557:  26%|██▌       | 26/100 [00:44<02:02,  1.65s/it]
Epoch 26 | train_loss: 0.2557:  27%|██▋       | 27/100 [00:44<01:59,  1.63s/it]
Epoch 27 | train_loss: 0.2571:  27%|██▋       | 27/100 [00:46<01:59,  1.63s/it]
Epoch 27 | train_loss: 0.2571:  28%|██▊       | 28/100 [00:46<01:56,  1.62s/it]
Epoch 28 | train_loss: 0.2571:  28%|██▊       | 28/100 [00:48<01:56,  1.62s/it]
